date,symbol,image_path,label_1d,label_5d,return_1d
2019-03-11,ETH-USD,data\charts\ETH_USD\20190311_0000.png,0,1,-0.021385
2019-03-12,ETH-USD,data\charts\ETH_USD\20190312_0000.png,1,1,0.004549
2019-03-13,ETH-USD,data\charts\ETH_USD\20190313_0000.png,0,1,-0.008776
2019-03-14,ETH-USD,data\charts\ETH_USD\20190314_0000.png,1,1,0.003366
2019-03-15,ETH-USD,data\charts\ETH_USD\20190315_0000.png,1,1,0.029767
2019-03-16,ETH-USD,data\charts\ETH_USD\20190316_0000.png,1,0,0.034181
2019-03-17,ETH-USD,data\charts\ETH_USD\20190317_0000.png,0,0,-0.016837
2019-03-18,ETH-USD,data\charts\ETH_USD\20190318_0000.png,0,0,-0.004471
2019-03-19,ETH-USD,data\charts\ETH_USD\20190319_0000.png,1,0,0.008212
2019-03-20,ETH-USD,data\charts\ETH_USD\20190320_0000.png,1,0,0.00119
2019-03-21,ETH-USD,data\charts\ETH_USD\20190321_0000.png,0,0,-0.02879
2019-03-22,ETH-USD,data\charts\ETH_USD\20190322_0000.png,1,0,0.003991
2019-03-23,ETH-USD,data\charts\ETH_USD\20190323_0000.png,1,1,0.007716
2019-03-24,ETH-USD,data\charts\ETH_USD\20190324_0000.png,0,1,-0.009064
2019-03-25,ETH-USD,data\charts\ETH_USD\20190325_0000.png,0,1,-0.014278
2019-03-26,ETH-USD,data\charts\ETH_USD\20190326_0000.png,1,1,0.00318
2019-03-27,ETH-USD,data\charts\ETH_USD\20190327_0000.png,1,1,0.040808
2019-03-28,ETH-USD,data\charts\ETH_USD\20190328_0000.png,0,1,-0.011148
2019-03-29,ETH-USD,data\charts\ETH_USD\20190329_0000.png,1,1,0.022099
2019-03-30,ETH-USD,data\charts\ETH_USD\20190330_0000.png,0,1,-0.00284
2019-03-31,ETH-USD,data\charts\ETH_USD\20190331_0000.png,0,1,-0.004072
2019-04-01,ETH-USD,data\charts\ETH_USD\20190401_0000.png,1,1,0.002235
2019-04-02,ETH-USD,data\charts\ETH_USD\20190402_0000.png,1,1,0.156042
2019-04-03,ETH-USD,data\charts\ETH_USD\20190403_0000.png,0,1,-0.015265
2019-04-04,ETH-USD,data\charts\ETH_USD\20190404_0000.png,0,1,-0.021097
2019-04-05,ETH-USD,data\charts\ETH_USD\20190405_0000.png,1,1,0.047214
2019-04-06,ETH-USD,data\charts\ETH_USD\20190406_0000.png,1,1,0.002612
2019-04-07,ETH-USD,data\charts\ETH_USD\20190407_0000.png,1,0,0.05173
2019-04-08,ETH-USD,data\charts\ETH_USD\20190408_0000.png,1,0,0.032815
2019-04-09,ETH-USD,data\charts\ETH_USD\20190409_0000.png,0,0,-0.022991
2019-04-10,ETH-USD,data\charts\ETH_USD\20190410_0000.png,1,0,0.006944
2019-04-11,ETH-USD,data\charts\ETH_USD\20190411_0000.png,0,0,-0.066768
