date,symbol,image_path,label_1d,label_5d,return_1d
2019-04-08,EURUSD=X,data\charts\EURUSD_X\20190408_0000.png,0,1,-0.000561
2019-04-09,EURUSD=X,data\charts\EURUSD_X\20190409_0000.png,1,1,0.003287
2019-04-10,EURUSD=X,data\charts\EURUSD_X\20190410_0000.png,1,1,0.000935
2019-04-11,EURUSD=X,data\charts\EURUSD_X\20190411_0000.png,1,1,0.000846
2019-04-12,EURUSD=X,data\charts\EURUSD_X\20190412_0000.png,0,1,-0.001396
2019-04-15,EURUSD=X,data\charts\EURUSD_X\20190415_0000.png,1,0,0.003934
2019-04-16,EURUSD=X,data\charts\EURUSD_X\20190416_0000.png,0,0,-1.1e-05
2019-04-17,EURUSD=X,data\charts\EURUSD_X\20190417_0000.png,0,0,-0.00176
2019-04-18,EURUSD=X,data\charts\EURUSD_X\20190418_0000.png,1,0,0.001073
2019-04-19,EURUSD=X,data\charts\EURUSD_X\20190419_0000.png,0,0,-0.005416
2019-04-22,EURUSD=X,data\charts\EURUSD_X\20190422_0000.png,1,0,0.000765
2019-04-23,EURUSD=X,data\charts\EURUSD_X\20190423_0000.png,1,0,0.001284
2019-04-24,EURUSD=X,data\charts\EURUSD_X\20190424_0000.png,0,0,-0.003075
2019-04-25,EURUSD=X,data\charts\EURUSD_X\20190425_0000.png,0,1,-0.006313
2019-04-26,EURUSD=X,data\charts\EURUSD_X\20190426_0000.png,0,1,-0.001492
2019-04-29,EURUSD=X,data\charts\EURUSD_X\20190429_0000.png,1,1,0.001204
2019-04-30,EURUSD=X,data\charts\EURUSD_X\20190430_0000.png,1,1,0.003132
2019-05-01,EURUSD=X,data\charts\EURUSD_X\20190501_0000.png,1,0,0.002759
2019-05-02,EURUSD=X,data\charts\EURUSD_X\20190502_0000.png,0,0,-0.001355
2019-05-03,EURUSD=X,data\charts\EURUSD_X\20190503_0000.png,0,1,-0.002436
2019-05-06,EURUSD=X,data\charts\EURUSD_X\20190506_0000.png,1,1,0.001096
2019-05-07,EURUSD=X,data\charts\EURUSD_X\20190507_0000.png,1,1,0.001434
2019-05-08,EURUSD=X,data\charts\EURUSD_X\20190508_0000.png,0,1,-0.000962
2019-05-09,EURUSD=X,data\charts\EURUSD_X\20190509_0000.png,1,1,0.000649
2019-05-10,EURUSD=X,data\charts\EURUSD_X\20190510_0000.png,1,0,0.002121
2019-05-13,EURUSD=X,data\charts\EURUSD_X\20190513_0000.png,1,0,0.001281
2019-05-14,EURUSD=X,data\charts\EURUSD_X\20190514_0000.png,0,0,-0.000348
2019-05-15,EURUSD=X,data\charts\EURUSD_X\20190515_0000.png,0,0,-0.002499
2019-05-16,EURUSD=X,data\charts\EURUSD_X\20190516_0000.png,1,0,0.000247
2019-05-17,EURUSD=X,data\charts\EURUSD_X\20190517_0000.png,0,1,-0.003006
2019-05-20,EURUSD=X,data\charts\EURUSD_X\20190520_0000.png,0,1,-0.000737
2019-05-21,EURUSD=X,data\charts\EURUSD_X\20190521_0000.png,1,1,0.00029
2019-05-23,EURUSD=X,data\charts\EURUSD_X\20190523_0000.png,0,1,-0.001171
2019-05-24,EURUSD=X,data\charts\EURUSD_X\20190524_0000.png,1,0,0.002606
2019-05-27,EURUSD=X,data\charts\EURUSD_X\20190527_0000.png,1,0,0.002242
2019-05-28,EURUSD=X,data\charts\EURUSD_X\20190528_0000.png,0,0,-0.00141
2019-05-29,EURUSD=X,data\charts\EURUSD_X\20190529_0000.png,0,1,-0.002067
2019-05-30,EURUSD=X,data\charts\EURUSD_X\20190530_0000.png,0,1,-0.002985
2019-05-31,EURUSD=X,data\charts\EURUSD_X\20190531_0000.png,0,1,-0.000557
2019-06-03,EURUSD=X,data\charts\EURUSD_X\20190603_0000.png,1,1,0.003855
2019-06-04,EURUSD=X,data\charts\EURUSD_X\20190604_0000.png,1,1,0.006467
2019-06-05,EURUSD=X,data\charts\EURUSD_X\20190605_0000.png,1,1,0.000687
2019-06-06,EURUSD=X,data\charts\EURUSD_X\20190606_0000.png,0,1,-0.002223
2019-06-07,EURUSD=X,data\charts\EURUSD_X\20190607_0000.png,1,1,0.004229
2019-06-10,EURUSD=X,data\charts\EURUSD_X\20190610_0000.png,1,0,0.003871
2019-06-11,EURUSD=X,data\charts\EURUSD_X\20190611_0000.png,0,0,-0.000181
2019-06-12,EURUSD=X,data\charts\EURUSD_X\20190612_0000.png,1,0,0.001008
2019-06-13,EURUSD=X,data\charts\EURUSD_X\20190613_0000.png,0,0,-0.002993
2019-06-14,EURUSD=X,data\charts\EURUSD_X\20190614_0000.png,0,0,-0.001342
2019-06-17,EURUSD=X,data\charts\EURUSD_X\20190617_0000.png,0,1,-0.00562
2019-06-18,EURUSD=X,data\charts\EURUSD_X\20190618_0000.png,1,1,0.000673
