date,symbol,image_path,label_1d,label_5d,return_1d
2019-04-11,GC=F,data\charts\GC_F\20190411_0000.png,0,0,-0.01566
2019-04-12,GC=F,data\charts\GC_F\20190412_0000.png,1,0,0.001552
2019-04-15,GC=F,data\charts\GC_F\20190415_0000.png,0,0,-0.002944
2019-04-16,GC=F,data\charts\GC_F\20190416_0000.png,0,0,-0.011035
2019-04-17,GC=F,data\charts\GC_F\20190417_0000.png,0,1,-0.000314
2019-04-18,GC=F,data\charts\GC_F\20190418_0000.png,0,1,-0.000236
2019-04-22,GC=F,data\charts\GC_F\20190422_0000.png,1,1,0.001258
2019-04-23,GC=F,data\charts\GC_F\20190423_0000.png,0,1,-0.003298
2019-04-24,GC=F,data\charts\GC_F\20190424_0000.png,1,1,0.004885
2019-04-25,GC=F,data\charts\GC_F\20190425_0000.png,1,1,0.000235
2019-04-26,GC=F,data\charts\GC_F\20190426_0000.png,1,0,0.007133
2019-04-29,GC=F,data\charts\GC_F\20190429_0000.png,0,1,-0.004903
2019-04-30,GC=F,data\charts\GC_F\20190430_0000.png,1,0,0.003285
2019-05-01,GC=F,data\charts\GC_F\20190501_0000.png,0,1,-0.001091
2019-05-02,GC=F,data\charts\GC_F\20190502_0000.png,0,1,-0.009131
2019-05-03,GC=F,data\charts\GC_F\20190503_0000.png,1,1,0.007482
2019-05-06,GC=F,data\charts\GC_F\20190506_0000.png,1,1,0.001954
2019-05-07,GC=F,data\charts\GC_F\20190507_0000.png,1,1,0.001404
2019-05-08,GC=F,data\charts\GC_F\20190508_0000.png,0,1,-0.003194
2019-05-09,GC=F,data\charts\GC_F\20190509_0000.png,1,1,0.003205
2019-05-10,GC=F,data\charts\GC_F\20190510_0000.png,1,0,0.001714
2019-05-13,GC=F,data\charts\GC_F\20190513_0000.png,1,0,0.0112
2019-05-14,GC=F,data\charts\GC_F\20190514_0000.png,0,0,-0.004154
2019-05-15,GC=F,data\charts\GC_F\20190515_0000.png,1,0,0.001236
2019-05-16,GC=F,data\charts\GC_F\20190516_0000.png,0,0,-0.008717
2019-05-17,GC=F,data\charts\GC_F\20190517_0000.png,0,1,-0.008171
2019-05-20,GC=F,data\charts\GC_F\20190520_0000.png,1,1,0.001255
2019-05-21,GC=F,data\charts\GC_F\20190521_0000.png,0,1,-0.003213
2019-05-22,GC=F,data\charts\GC_F\20190522_0000.png,1,1,0.001258
2019-05-23,GC=F,data\charts\GC_F\20190523_0000.png,1,1,0.008794
2019-05-24,GC=F,data\charts\GC_F\20190524_0000.png,0,1,-0.001401
2019-05-28,GC=F,data\charts\GC_F\20190528_0000.png,0,1,-0.005066
2019-05-29,GC=F,data\charts\GC_F\20190529_0000.png,1,1,0.003212
2019-05-30,GC=F,data\charts\GC_F\20190530_0000.png,1,1,0.005076
2019-05-31,GC=F,data\charts\GC_F\20190531_0000.png,1,1,0.014529
2019-06-03,GC=F,data\charts\GC_F\20190603_0000.png,1,1,0.012942
2019-06-04,GC=F,data\charts\GC_F\20190604_0000.png,1,1,0.000529
2019-06-05,GC=F,data\charts\GC_F\20190605_0000.png,1,0,0.003703
2019-06-06,GC=F,data\charts\GC_F\20190606_0000.png,1,0,0.007001
2019-06-07,GC=F,data\charts\GC_F\20190607_0000.png,1,0,0.002691
2019-06-10,GC=F,data\charts\GC_F\20190610_0000.png,0,1,-0.012302
2019-06-11,GC=F,data\charts\GC_F\20190611_0000.png,1,1,0.001283
2019-06-12,GC=F,data\charts\GC_F\20190612_0000.png,1,1,0.004147
2019-06-13,GC=F,data\charts\GC_F\20190613_0000.png,1,1,0.005481
2019-06-14,GC=F,data\charts\GC_F\20190614_0000.png,1,1,0.000672
2019-06-17,GC=F,data\charts\GC_F\20190617_0000.png,0,1,-0.001045
2019-06-18,GC=F,data\charts\GC_F\20190618_0000.png,1,1,0.005901
2019-06-19,GC=F,data\charts\GC_F\20190619_0000.png,0,1,-0.001485
2019-06-20,GC=F,data\charts\GC_F\20190620_0000.png,1,1,0.035922
2019-06-21,GC=F,data\charts\GC_F\20190621_0000.png,1,1,0.002369
2019-06-24,GC=F,data\charts\GC_F\20190624_0000.png,1,0,0.012964
2019-06-25,GC=F,data\charts\GC_F\20190625_0000.png,1,0,0.000424
2019-06-26,GC=F,data\charts\GC_F\20190626_0000.png,0,0,-0.002332
2019-06-27,GC=F,data\charts\GC_F\20190627_0000.png,0,1,-0.002267
2019-06-28,GC=F,data\charts\GC_F\20190628_0000.png,1,0,0.000923
2019-07-01,GC=F,data\charts\GC_F\20190701_0000.png,0,1,-0.017096
2019-07-02,GC=F,data\charts\GC_F\20190702_0000.png,1,0,0.013712
2019-07-03,GC=F,data\charts\GC_F\20190703_0000.png,1,0,0.009326
2019-07-05,GC=F,data\charts\GC_F\20190705_0000.png,0,1,-0.014813
2019-07-08,GC=F,data\charts\GC_F\20190708_0000.png,1,1,0.000215
2019-07-09,GC=F,data\charts\GC_F\20190709_0000.png,1,1,0.000358
2019-07-10,GC=F,data\charts\GC_F\20190710_0000.png,1,0,0.009016
2019-07-11,GC=F,data\charts\GC_F\20190711_0000.png,0,1,-0.004113
2019-07-12,GC=F,data\charts\GC_F\20190712_0000.png,1,1,0.003988
2019-07-15,GC=F,data\charts\GC_F\20190715_0000.png,1,1,0.001064
2019-07-16,GC=F,data\charts\GC_F\20190716_0000.png,0,1,-0.001559
2019-07-17,GC=F,data\charts\GC_F\20190717_0000.png,1,0,0.008587
2019-07-18,GC=F,data\charts\GC_F\20190718_0000.png,1,0,0.003377
2019-07-19,GC=F,data\charts\GC_F\20190719_0000.png,0,0,-0.000701
2019-07-22,GC=F,data\charts\GC_F\20190722_0000.png,1,0,0.00014
2019-07-23,GC=F,data\charts\GC_F\20190723_0000.png,0,0,-0.003648
2019-07-24,GC=F,data\charts\GC_F\20190724_0000.png,1,1,0.001901
2019-07-25,GC=F,data\charts\GC_F\20190725_0000.png,0,1,-0.006255
2019-07-26,GC=F,data\charts\GC_F\20190726_0000.png,1,1,0.003253
2019-07-29,GC=F,data\charts\GC_F\20190729_0000.png,1,1,0.000775
2019-07-30,GC=F,data\charts\GC_F\20190730_0000.png,1,1,0.007115
2019-07-31,GC=F,data\charts\GC_F\20190731_0000.png,0,1,-0.002518
2019-08-01,GC=F,data\charts\GC_F\20190801_0000.png,0,1,-0.003646
2019-08-02,GC=F,data\charts\GC_F\20190802_0000.png,1,1,0.017383
2019-08-05,GC=F,data\charts\GC_F\20190805_0000.png,1,1,0.013143
2019-08-06,GC=F,data\charts\GC_F\20190806_0000.png,1,1,0.005326
2019-08-07,GC=F,data\charts\GC_F\20190807_0000.png,1,0,0.023703
2019-08-08,GC=F,data\charts\GC_F\20190808_0000.png,0,1,-0.006369
2019-08-09,GC=F,data\charts\GC_F\20190809_0000.png,0,1,-0.000734
2019-08-12,GC=F,data\charts\GC_F\20190812_0000.png,1,1,0.005813
2019-08-13,GC=F,data\charts\GC_F\20190813_0000.png,0,0,-0.002059
2019-08-14,GC=F,data\charts\GC_F\20190814_0000.png,1,0,0.00912
2019-08-15,GC=F,data\charts\GC_F\20190815_0000.png,1,0,0.002441
2019-08-16,GC=F,data\charts\GC_F\20190816_0000.png,0,0,-0.004672
2019-08-19,GC=F,data\charts\GC_F\20190819_0000.png,0,1,-0.008
2019-08-20,GC=F,data\charts\GC_F\20190820_0000.png,1,1,0.002799
2019-08-21,GC=F,data\charts\GC_F\20190821_0000.png,0,1,0.0
2019-08-22,GC=F,data\charts\GC_F\20190822_0000.png,0,1,-0.004852
2019-08-23,GC=F,data\charts\GC_F\20190823_0000.png,1,0,0.019569
2019-08-26,GC=F,data\charts\GC_F\20190826_0000.png,0,0,-0.000196
2019-08-27,GC=F,data\charts\GC_F\20190827_0000.png,1,1,0.009631
2019-08-28,GC=F,data\charts\GC_F\20190828_0000.png,0,1,-0.002077
2019-08-29,GC=F,data\charts\GC_F\20190829_0000.png,0,0,-0.007348
2019-08-30,GC=F,data\charts\GC_F\20190830_0000.png,0,0,-0.004848
2019-09-03,GC=F,data\charts\GC_F\20190903_0000.png,1,0,0.017642
2019-09-04,GC=F,data\charts\GC_F\20190904_0000.png,1,0,0.002846
2019-09-05,GC=F,data\charts\GC_F\20190905_0000.png,0,0,-0.022512
2019-09-06,GC=F,data\charts\GC_F\20190906_0000.png,0,0,-0.006071
2019-09-09,GC=F,data\charts\GC_F\20190909_0000.png,0,0,-0.002656
2019-09-10,GC=F,data\charts\GC_F\20190910_0000.png,0,1,-0.007922
2019-09-11,GC=F,data\charts\GC_F\20190911_0000.png,1,1,0.002751
2019-09-12,GC=F,data\charts\GC_F\20190912_0000.png,1,1,0.002877
2019-09-13,GC=F,data\charts\GC_F\20190913_0000.png,0,1,-0.005204
2019-09-16,GC=F,data\charts\GC_F\20190916_0000.png,1,1,0.008183
2019-09-17,GC=F,data\charts\GC_F\20190917_0000.png,1,1,0.001331
2019-09-18,GC=F,data\charts\GC_F\20190918_0000.png,1,1,0.001595
2019-09-19,GC=F,data\charts\GC_F\20190919_0000.png,0,1,-0.006036
2019-09-20,GC=F,data\charts\GC_F\20190920_0000.png,1,1,0.00594
2019-09-23,GC=F,data\charts\GC_F\20190923_0000.png,1,0,0.01088
2019-09-24,GC=F,data\charts\GC_F\20190924_0000.png,1,0,0.005513
2019-09-25,GC=F,data\charts\GC_F\20190925_0000.png,0,0,-0.017949
2019-09-26,GC=F,data\charts\GC_F\20190926_0000.png,1,0,0.001927
2019-09-27,GC=F,data\charts\GC_F\20190927_0000.png,0,1,-0.005572
2019-09-30,GC=F,data\charts\GC_F\20190930_0000.png,0,1,-0.02228
2019-10-01,GC=F,data\charts\GC_F\20191001_0000.png,1,1,0.011121
2019-10-02,GC=F,data\charts\GC_F\20191002_0000.png,1,0,0.012821
2019-10-03,GC=F,data\charts\GC_F\20191003_0000.png,1,0,0.004064
2019-10-04,GC=F,data\charts\GC_F\20191004_0000.png,0,0,-0.000597
2019-10-07,GC=F,data\charts\GC_F\20191007_0000.png,0,0,-0.005643
2019-10-08,GC=F,data\charts\GC_F\20191008_0000.png,0,0,-0.000334
2019-10-09,GC=F,data\charts\GC_F\20191009_0000.png,1,0,0.005944
2019-10-10,GC=F,data\charts\GC_F\20191010_0000.png,0,0,-0.007503
2019-10-11,GC=F,data\charts\GC_F\20191011_0000.png,0,1,-0.008095
2019-10-14,GC=F,data\charts\GC_F\20191014_0000.png,1,0,0.00607
2019-10-15,GC=F,data\charts\GC_F\20191015_0000.png,0,1,-0.009452
2019-10-16,GC=F,data\charts\GC_F\20191016_0000.png,1,0,0.007038
2019-10-17,GC=F,data\charts\GC_F\20191017_0000.png,1,0,0.00289
2019-10-18,GC=F,data\charts\GC_F\20191018_0000.png,0,1,-0.002748
2019-10-21,GC=F,data\charts\GC_F\20191021_0000.png,0,1,-0.003897
2019-10-22,GC=F,data\charts\GC_F\20191022_0000.png,0,1,-0.000472
2019-10-23,GC=F,data\charts\GC_F\20191023_0000.png,1,0,0.005534
2019-10-24,GC=F,data\charts\GC_F\20191024_0000.png,1,0,0.006041
2019-10-25,GC=F,data\charts\GC_F\20191025_0000.png,1,1,0.0004
2019-10-28,GC=F,data\charts\GC_F\20191028_0000.png,0,1,-0.006335
2019-10-29,GC=F,data\charts\GC_F\20191029_0000.png,0,1,-0.002013
2019-10-30,GC=F,data\charts\GC_F\20191030_0000.png,1,0,0.004169
2019-10-31,GC=F,data\charts\GC_F\20191031_0000.png,1,0,0.012189
2019-11-01,GC=F,data\charts\GC_F\20191101_0000.png,0,0,-0.00225
2019-11-04,GC=F,data\charts\GC_F\20191104_0000.png,0,0,0.0
2019-11-05,GC=F,data\charts\GC_F\20191105_0000.png,0,0,-0.018037
2019-11-06,GC=F,data\charts\GC_F\20191106_0000.png,1,0,0.006348
2019-11-07,GC=F,data\charts\GC_F\20191107_0000.png,0,0,-0.017447
2019-11-08,GC=F,data\charts\GC_F\20191108_0000.png,0,1,-0.001981
2019-11-11,GC=F,data\charts\GC_F\20191111_0000.png,0,1,-0.003969
2019-11-12,GC=F,data\charts\GC_F\20191112_0000.png,0,1,-0.002336
2019-11-13,GC=F,data\charts\GC_F\20191113_0000.png,1,1,0.006611
2019-11-14,GC=F,data\charts\GC_F\20191114_0000.png,1,1,0.00691
2019-11-15,GC=F,data\charts\GC_F\20191115_0000.png,0,0,-0.003057
2019-11-18,GC=F,data\charts\GC_F\20191118_0000.png,1,0,0.002453
2019-11-19,GC=F,data\charts\GC_F\20191119_0000.png,1,0,0.001632
2019-11-20,GC=F,data\charts\GC_F\20191120_0000.png,0,0,0.0
2019-11-21,GC=F,data\charts\GC_F\20191121_0000.png,0,0,-0.006923
2019-11-22,GC=F,data\charts\GC_F\20191122_0000.png,0,1,0.0
2019-11-25,GC=F,data\charts\GC_F\20191125_0000.png,0,1,-0.004443
2019-11-26,GC=F,data\charts\GC_F\20191126_0000.png,1,1,0.002197
2019-11-27,GC=F,data\charts\GC_F\20191127_0000.png,0,1,-0.004384
2019-11-29,GC=F,data\charts\GC_F\20191129_0000.png,1,1,0.008394
2019-12-02,GC=F,data\charts\GC_F\20191202_0000.png,0,0,-0.002252
2019-12-03,GC=F,data\charts\GC_F\20191203_0000.png,1,0,0.010873
2019-12-04,GC=F,data\charts\GC_F\20191204_0000.png,0,0,-0.002841
2019-12-05,GC=F,data\charts\GC_F\20191205_0000.png,1,0,0.001967
2019-12-06,GC=F,data\charts\GC_F\20191206_0000.png,0,1,-0.012052
2019-12-09,GC=F,data\charts\GC_F\20191209_0000.png,1,1,0.000137
2019-12-10,GC=F,data\charts\GC_F\20191210_0000.png,1,1,0.002261
2019-12-11,GC=F,data\charts\GC_F\20191211_0000.png,1,1,0.004649
2019-12-12,GC=F,data\charts\GC_F\20191212_0000.png,0,1,-0.001838
2019-12-13,GC=F,data\charts\GC_F\20191213_0000.png,1,1,0.006068
2019-12-16,GC=F,data\charts\GC_F\20191216_0000.png,0,0,-0.000407
2019-12-17,GC=F,data\charts\GC_F\20191217_0000.png,0,1,-0.000271
2019-12-18,GC=F,data\charts\GC_F\20191218_0000.png,0,1,-0.001356
2019-12-19,GC=F,data\charts\GC_F\20191219_0000.png,1,1,0.003803
2019-12-20,GC=F,data\charts\GC_F\20191220_0000.png,0,1,-0.002368
2019-12-23,GC=F,data\charts\GC_F\20191223_0000.png,1,1,0.005289
2019-12-24,GC=F,data\charts\GC_F\20191224_0000.png,1,1,0.011197
2019-12-26,GC=F,data\charts\GC_F\20191226_0000.png,1,1,0.006804
2019-12-27,GC=F,data\charts\GC_F\20191227_0000.png,1,1,0.002982
2019-12-30,GC=F,data\charts\GC_F\20191230_0000.png,1,1,0.000462
2019-12-31,GC=F,data\charts\GC_F\20191231_0000.png,1,1,0.003301
2020-01-02,GC=F,data\charts\GC_F\20200102_0000.png,1,1,0.003291
2020-01-03,GC=F,data\charts\GC_F\20200103_0000.png,1,1,0.016202
2020-01-06,GC=F,data\charts\GC_F\20200106_0000.png,1,0,0.010973
2020-01-07,GC=F,data\charts\GC_F\20200107_0000.png,1,0,0.003576
2020-01-08,GC=F,data\charts\GC_F\20200108_0000.png,0,0,-0.009161
2020-01-09,GC=F,data\charts\GC_F\20200109_0000.png,0,1,-0.00366
2020-01-10,GC=F,data\charts\GC_F\20200110_0000.png,1,0,0.003738
2020-01-13,GC=F,data\charts\GC_F\20200113_0000.png,0,1,-0.005843
2020-01-14,GC=F,data\charts\GC_F\20200114_0000.png,0,1,-0.003875
2020-01-15,GC=F,data\charts\GC_F\20200115_0000.png,1,1,0.006289
2020-01-16,GC=F,data\charts\GC_F\20200116_0000.png,0,1,-0.001997
2020-01-17,GC=F,data\charts\GC_F\20200117_0000.png,1,1,0.006327
2020-01-21,GC=F,data\charts\GC_F\20200121_0000.png,0,1,-0.00154
2020-01-22,GC=F,data\charts\GC_F\20200122_0000.png,0,1,-0.000707
2020-01-23,GC=F,data\charts\GC_F\20200123_0000.png,1,1,0.00598
2020-01-24,GC=F,data\charts\GC_F\20200124_0000.png,1,1,0.004154
2020-01-27,GC=F,data\charts\GC_F\20200127_0000.png,1,1,0.003628
2020-01-28,GC=F,data\charts\GC_F\20200128_0000.png,0,1,-0.00482
2020-01-29,GC=F,data\charts\GC_F\20200129_0000.png,1,0,0.000382
2020-01-30,GC=F,data\charts\GC_F\20200130_0000.png,1,0,0.008727
2020-01-31,GC=F,data\charts\GC_F\20200131_0000.png,0,0,-0.000379
2020-02-03,GC=F,data\charts\GC_F\20200203_0000.png,0,0,-0.003601
2020-02-04,GC=F,data\charts\GC_F\20200204_0000.png,0,1,-0.016992
2020-02-05,GC=F,data\charts\GC_F\20200205_0000.png,1,1,0.004773
2020-02-06,GC=F,data\charts\GC_F\20200206_0000.png,1,1,0.004686
2020-02-07,GC=F,data\charts\GC_F\20200207_0000.png,1,1,0.002236
2020-02-10,GC=F,data\charts\GC_F\20200210_0000.png,1,1,0.003889
2020-02-11,GC=F,data\charts\GC_F\20200211_0000.png,0,1,-0.005779
2020-02-12,GC=F,data\charts\GC_F\20200212_0000.png,1,1,0.00115
2020-02-13,GC=F,data\charts\GC_F\20200213_0000.png,1,1,0.004913
2020-02-14,GC=F,data\charts\GC_F\20200214_0000.png,1,1,0.004825
2020-02-18,GC=F,data\charts\GC_F\20200218_0000.png,1,1,0.010931
2020-02-19,GC=F,data\charts\GC_F\20200219_0000.png,1,1,0.004687
2020-02-20,GC=F,data\charts\GC_F\20200220_0000.png,1,1,0.005661
2020-02-21,GC=F,data\charts\GC_F\20200221_0000.png,1,0,0.01732
2020-02-24,GC=F,data\charts\GC_F\20200224_0000.png,1,0,0.016904
2020-02-25,GC=F,data\charts\GC_F\20200225_0000.png,0,0,-0.015248
2020-02-26,GC=F,data\charts\GC_F\20200226_0000.png,0,1,-0.00419
2020-02-27,GC=F,data\charts\GC_F\20200227_0000.png,0,1,0.0
2020-02-28,GC=F,data\charts\GC_F\20200228_0000.png,0,1,-0.046281
2020-03-02,GC=F,data\charts\GC_F\20200302_0000.png,1,1,0.01803
2020-03-03,GC=F,data\charts\GC_F\20200303_0000.png,1,1,0.031275
2020-03-04,GC=F,data\charts\GC_F\20200304_0000.png,0,1,-0.000609
2020-03-05,GC=F,data\charts\GC_F\20200305_0000.png,1,0,0.015417
2020-03-06,GC=F,data\charts\GC_F\20200306_0000.png,1,0,0.00264
2020-03-09,GC=F,data\charts\GC_F\20200309_0000.png,1,0,0.002214
2020-03-10,GC=F,data\charts\GC_F\20200310_0000.png,0,0,-0.009197
2020-03-11,GC=F,data\charts\GC_F\20200311_0000.png,0,0,-0.010668
2020-03-12,GC=F,data\charts\GC_F\20200312_0000.png,0,0,-0.031741
2020-03-13,GC=F,data\charts\GC_F\20200313_0000.png,0,0,-0.04631
2020-03-16,GC=F,data\charts\GC_F\20200316_0000.png,0,0,-0.019661
2020-03-17,GC=F,data\charts\GC_F\20200317_0000.png,1,1,0.026247
2020-03-18,GC=F,data\charts\GC_F\20200318_0000.png,0,1,-0.031215
2020-03-19,GC=F,data\charts\GC_F\20200319_0000.png,1,1,0.00088
2020-03-20,GC=F,data\charts\GC_F\20200320_0000.png,1,1,0.003652
2020-03-23,GC=F,data\charts\GC_F\20200323_0000.png,1,1,0.05593
2020-03-24,GC=F,data\charts\GC_F\20200324_0000.png,1,0,0.059477
2020-03-25,GC=F,data\charts\GC_F\20200325_0000.png,0,0,-0.016805
2020-03-26,GC=F,data\charts\GC_F\20200326_0000.png,1,0,0.010905
2020-03-27,GC=F,data\charts\GC_F\20200327_0000.png,0,1,-0.015878
2020-03-30,GC=F,data\charts\GC_F\20200330_0000.png,0,1,-0.00117
2020-03-31,GC=F,data\charts\GC_F\20200331_0000.png,0,1,-0.023798
2020-04-01,GC=F,data\charts\GC_F\20200401_0000.png,0,1,-0.003284
2020-04-02,GC=F,data\charts\GC_F\20200402_0000.png,1,1,0.030098
2020-04-03,GC=F,data\charts\GC_F\20200403_0000.png,1,1,0.004921
2020-04-06,GC=F,data\charts\GC_F\20200406_0000.png,1,1,0.026504
2020-04-07,GC=F,data\charts\GC_F\20200407_0000.png,0,1,-0.007275
2020-04-08,GC=F,data\charts\GC_F\20200408_0000.png,1,1,0.00036
2020-04-09,GC=F,data\charts\GC_F\20200409_0000.png,1,0,0.042512
2020-04-13,GC=F,data\charts\GC_F\20200413_0000.png,1,0,0.004953
2020-04-14,GC=F,data\charts\GC_F\20200414_0000.png,1,0,0.00682
2020-04-15,GC=F,data\charts\GC_F\20200415_0000.png,0,0,-0.016793
2020-04-16,GC=F,data\charts\GC_F\20200416_0000.png,0,1,-0.003937
2020-04-17,GC=F,data\charts\GC_F\20200417_0000.png,0,1,-0.018135
2020-04-20,GC=F,data\charts\GC_F\20200420_0000.png,1,1,0.007341
2020-04-21,GC=F,data\charts\GC_F\20200421_0000.png,0,1,-0.013752
2020-04-22,GC=F,data\charts\GC_F\20200422_0000.png,1,0,0.030092
2020-04-23,GC=F,data\charts\GC_F\20200423_0000.png,1,0,0.002661
