2026-03-30 11:20:18,091 | INFO     | phase1 | =======================================================
2026-03-30 11:20:18,092 | INFO     | phase1 | PHASE 1 — Data Pipeline & Feature Engineering
2026-03-30 11:20:18,092 | INFO     | phase1 | =======================================================
2026-03-30 11:20:18,092 | INFO     | phase1 | Step 1/5 — Downloading OHLCV price data...
2026-03-30 11:20:18,093 | INFO     | src.ingestion.downloader | Downloading EUR/USD (EURUSD=X)  [forex]
2026-03-30 11:20:22,886 | ERROR    | src.ingestion.downloader |   ✗ Failed to download EURUSD=X: object of type 'NoneType' has no len()
2026-03-30 11:20:23,387 | INFO     | src.ingestion.downloader | Downloading USD/KES (KES=X)  [forex]
2026-03-30 11:20:25,193 | ERROR    | src.ingestion.downloader |   ✗ Failed to download KES=X: object of type 'NoneType' has no len()
2026-03-30 11:20:25,695 | INFO     | src.ingestion.downloader | Downloading Bitcoin (BTC-USD)  [crypto]
2026-03-30 11:20:27,640 | ERROR    | src.ingestion.downloader |   ✗ Failed to download BTC-USD: object of type 'NoneType' has no len()
2026-03-30 11:20:28,141 | INFO     | src.ingestion.downloader | Downloading Ethereum (ETH-USD)  [crypto]
2026-03-30 11:20:30,978 | ERROR    | src.ingestion.downloader |   ✗ Failed to download ETH-USD: object of type 'NoneType' has no len()
2026-03-30 11:20:31,480 | INFO     | src.ingestion.downloader | Downloading Gold (GC=F)  [gold]
2026-03-30 11:20:33,452 | ERROR    | src.ingestion.downloader |   ✗ Failed to download GC=F: object of type 'NoneType' has no len()
2026-03-30 11:20:33,954 | INFO     | src.ingestion.downloader | Download complete — 5/5 assets succeeded
2026-03-30 11:20:33,956 | INFO     | phase1 | Step 2/5 — Fetching news headlines...
2026-03-30 11:20:33,960 | INFO     | src.ingestion.news_fetcher | Fetching news for EURUSD=X...
2026-03-30 11:20:38,114 | INFO     | src.ingestion.news_fetcher | Fetching news for KES=X...
2026-03-30 11:20:40,339 | INFO     | src.ingestion.news_fetcher | Fetching news for BTC-USD...
2026-03-30 11:20:42,606 | INFO     | src.ingestion.news_fetcher | Fetching news for ETH-USD...
2026-03-30 11:20:45,264 | INFO     | src.ingestion.news_fetcher | Fetching news for GC=F...
2026-03-30 11:20:48,455 | INFO     | src.ingestion.news_fetcher | Saved 296 news articles → data\raw\news\headlines.csv
2026-03-30 11:20:48,455 | INFO     | phase1 | Step 3/5 — Fetching macro indicators from FRED...
2026-03-30 11:20:48,456 | INFO     | src.ingestion.news_fetcher | Fetching FRED: CPIAUCSL (US CPI (inflation))
2026-03-30 11:20:50,226 | INFO     | src.ingestion.news_fetcher |   ✓ 72 observations
2026-03-30 11:20:50,426 | INFO     | src.ingestion.news_fetcher | Fetching FRED: FEDFUNDS (Fed Funds Rate)
2026-03-30 11:20:53,305 | INFO     | src.ingestion.news_fetcher |   ✓ 72 observations
2026-03-30 11:20:53,507 | INFO     | src.ingestion.news_fetcher | Fetching FRED: DGS10 (10-Year Treasury Yield)
2026-03-30 11:20:55,165 | INFO     | src.ingestion.news_fetcher |   ✓ 1,501 observations
2026-03-30 11:20:55,366 | INFO     | src.ingestion.news_fetcher | Fetching FRED: DEXUSEU (USD/EUR Exchange Rate)
2026-03-30 11:20:57,280 | INFO     | src.ingestion.news_fetcher |   ✓ 1,498 observations
2026-03-30 11:20:57,481 | INFO     | src.ingestion.news_fetcher | Fetching FRED: GOLDAMGBD228NLBM (Gold Price (London Fix))
2026-03-30 11:20:59,945 | WARNING  | src.ingestion.news_fetcher | FRED error for GOLDAMGBD228NLBM: 400 Client Error: Bad Request for url: https://api.stlouisfed.org/fred/series/observations?series_id=GOLDAMGBD228NLBM&api_key=ff68a45463cb4d6e97b4788cdf544bda&file_type=json&observation_start=2019-01-01&observation_end=2024-12-31
2026-03-30 11:21:00,177 | INFO     | src.ingestion.news_fetcher | Saved macro data ((1528, 4)) → macro_fred.parquet
2026-03-30 11:21:00,179 | INFO     | phase1 | Step 4/5 — Computing technical indicators...
2026-03-30 11:21:00,180 | INFO     | src.features.indicators | Computing features for EURUSD=X (1,564 rows)
2026-03-30 11:21:14,965 | INFO     | src.features.indicators |   ✓ 0 clean rows (1564 dropped for indicator warm-up)
2026-03-30 11:21:14,989 | INFO     | src.features.indicators |   Saved → EURUSD_X_features.parquet  (29 features)
2026-03-30 11:21:14,991 | INFO     | src.features.indicators | Computing features for KES=X (1,564 rows)
2026-03-30 11:21:15,087 | INFO     | src.features.indicators |   ✓ 0 clean rows (1564 dropped for indicator warm-up)
2026-03-30 11:21:15,096 | INFO     | src.features.indicators |   Saved → KES_X_features.parquet  (29 features)
2026-03-30 11:21:15,097 | INFO     | src.features.indicators | Computing features for BTC-USD (2,191 rows)
2026-03-30 11:21:15,210 | INFO     | src.features.indicators |   ✓ 2,142 clean rows (49 dropped for indicator warm-up)
2026-03-30 11:21:15,279 | INFO     | src.features.indicators |   Saved → BTC_USD_features.parquet  (29 features)
2026-03-30 11:21:15,283 | INFO     | src.features.indicators | Computing features for ETH-USD (2,191 rows)
2026-03-30 11:21:15,404 | INFO     | src.features.indicators |   ✓ 2,142 clean rows (49 dropped for indicator warm-up)
2026-03-30 11:21:15,446 | INFO     | src.features.indicators |   Saved → ETH_USD_features.parquet  (29 features)
2026-03-30 11:21:15,447 | INFO     | src.features.indicators | Computing features for GC=F (1,509 rows)
2026-03-30 11:21:15,558 | INFO     | src.features.indicators |   ✓ 1,460 clean rows (49 dropped for indicator warm-up)
2026-03-30 11:21:15,607 | INFO     | src.features.indicators |   Saved → GC_F_features.parquet  (29 features)
2026-03-30 11:21:15,608 | INFO     | src.features.indicators | Feature engineering complete — 5/5 assets
2026-03-30 11:21:15,608 | INFO     | phase1 | Step 5/5 — Generating candlestick chart images...
2026-03-30 11:21:15,611 | INFO     | src.features.chart_generator | Generating 0 chart images for EURUSD=X...
2026-03-30 11:21:15,614 | INFO     | src.features.chart_generator |   ✓ 0 images saved → data\charts\EURUSD_X
2026-03-30 11:21:15,622 | INFO     | src.features.chart_generator |   Metadata → EURUSD_X_metadata.csv
2026-03-30 11:21:44,040 | INFO     | phase1 | =======================================================
2026-03-30 11:21:44,041 | INFO     | phase1 | PHASE 1 — Data Pipeline & Feature Engineering
2026-03-30 11:21:44,041 | INFO     | phase1 | =======================================================
2026-03-30 11:21:44,041 | INFO     | phase1 | Step 1/5 — Downloading OHLCV price data...
2026-03-30 11:21:44,042 | INFO     | src.ingestion.downloader | Downloading EUR/USD (EURUSD=X)  [forex]
2026-03-30 11:21:47,248 | ERROR    | src.ingestion.downloader |   ✗ Failed to download EURUSD=X: object of type 'NoneType' has no len()
2026-03-30 11:21:47,749 | INFO     | src.ingestion.downloader | Downloading USD/KES (KES=X)  [forex]
